Post Content,Ground Truth Label
"New fund: 20% APY on USDC via algorithmic market-making. Backtested 18 months, 2.3 Sharpe ratio. $10k minimum. Quantstamp audited. Daily interest. Capped $5M AUM.",0
"Run small crypto fund ($800k AUM), opening to 5 new LPs. 65% annual returns over 3 years. Strategy: arbitrage + yield + altcoins. Multisig managed, monthly reports. DM if $25k+ available.",1
"Launched crypto trading course after 1,000 requests. Covers DeFi, analysis, risk, tax. 300 students first week. Lifetime access $497 (was $997). 14-day refund. Link below.",1
"Reminder: Gas fees super low (8 gwei). Perfect time to move funds, claim airdrops, deploy contracts. Average usually 30+ gwei. Save for reference.",0
"My portfolio allocation: 50% BTC/ETH, 30% large-cap alts (SOL, AVAX, MATIC), 15% DeFi (AAVE, UNI, CRV), 5% high-risk. Rebalance quarterly. Works for me. Not advice. Thoughts?",0
Community giveaway for 10k milestone! Prize: $500 BTC. Rules: Follow + RT + tag 2 friends. Winner Friday via random.org. Account must be 3+ months old. Good luck!,1
Bitcoin Miami conference early bird 40% off this week ($599 vs $999). Great for networking. Closed 2 deals at past events. Code MIAMI2026. March 15-17. See you there?,0
Alpha leak: Heard from Coinbase engineer friend they are adding 3 tokens next month. Cannot say publicly but one rhymes with Bardano. Do with this what you will. Not financial advice...,1
"UPDATE: Extending seed round by $500k due to interest. If you missed first allocation, reply here. Current valuation $15M (next $45M). Building compliant crypto derivatives for institutions. Bloomberg featured us.",0
"Market maker here. Recruiting 20 liquidity providers for private pool. 8-12% monthly returns via spread capture + arbitrage. Need: trading history, $50k min, NDA. Serious only, encrypted DM.",1
"My crypto tax attorney saved me $47k using one legal strategy. Most do not know this loophole. Negotiated discount for followers - $2,500 consultation now $399. She takes 30 clients/month. Link in profile.",1
Insider info (do not share): SEC Bitcoin ETF approval triggered clause in our smart contract. Distributing bonus tokens to early investors - 2:1 ratio. Check wallet if you joined 2024 seed round. Gas covered. Claim within 7 days or forfeit.,1
"$HYPE airdrop snapshot at block 18,500,000 (36 hrs). Eligibility: 0.1+ ETH, 3+ DeFi txns, wallet age 6+ months. No claims - auto-distributed. Legit per official Discord screenshot.",0
"Controversial: Most crypto communities are referral schemes. But if you are early and understand it, you can profit ethically. Made $8k last quarter via Discord + NFT flips. Thread on how...",0
"Building decentralized hedge fund governed by tokenholders. First $2M raised, target $20M. Each token = 1 vote. Profits quarterly via smart contract. Legal structure approved in Cayman Islands. Whitepaper linked.",0
"Pro tip from 5 years in crypto: Never share portfolio size publicly. That said, if managing 6+ figures without hardware wallet + multisig, you are wrong. I offer security audits for $250. Saved 3 clients from hacks. DM me.",1
"Free crypto trading webinar Saturday 2pm EST. Topics: Market cycles, entry/exit, rebalancing. No upsell, no course - genuinely educational. Made enough from crypto, now giving back. Zoom link attached.",1
"FREE BOOK & Crypto giveaway!!!                                    1 person wins $25 in FREE Bitcoin Directions⬇️
1) Like This Post                                                                2) Follow My Page                                                                    3) Tag 2 Friends Below",1
"I am sending you 1π!

Claim your Pi now following this link:

->  

-> use code: geomastro 

#giveaway #free #code #airdrop #crypto #news #btc     #Covid_19 #StayHome        #Apple #Marrone #OneDirection2020 #pericles #WONHO",1
"Coinz Review: World’s First AI App that Generates $253.87 Daily In Free Bitcoin & Ethereum
👉👉 Click Here To Get More Info 👇👇
https://sumonreview.com/coinz-review/
#Coinzlivedemo #CoinzOTOS #Coinzpreview #CoinzReview #Coinzsoftware #Coinzupgrades #Coinzupsells #Coinzworth #Traffic #WhatIsCoinz?",1
"Coinz Review: Transforms Any Device into a Cryptocurrency Generator!

More Details Of Coinz App - https://kausar-review.com/coinz-review-start-earning-free-bitcoin/

#Coinz #CoinzApp #CoinzMenu #CoinzReview #cryptocurrencyGenerator",1
"🔥1,000 XRP Giveaway🔥

xDREAMS 2nd Gen NFTs

👉 10 XRP Each #NFT👈

1,000 #XRP GA When Sold-Out
📍5 winners = 50 XRP Each
📍10+ NFTs = 3 winners 👉250 XRP each
📍You Can WIN Multiple Times

👇👇Mint Now👇👇
https://xmart.art/collections/xDREAMS/2nd-Gen/

#XRPL #bluesky #XRParmy #XRPLCommunity #GA #Giveaway #crypto #XRPHolders",1
"🚨 BREAKING NEWS: FEDERAL RESERVE CONFIRMS XRP WILL STRONGLY SUPPORT ITS FEDNOW PAYMENT SYSTEM! ‼️‼️

#XRP #Crypto #Fednow

Side note: 1000 XRP giveaway in 38 hours, Just follow, RT, comment your thoughts",1
"Grass Crypto Project you can run this for free in the background of your Mini PC, take my Referral code and start earning Crypto ☄️☄️☄️📦

https://app.getgrass.io/register/?referralCode=0ZZ8r1SncACSWSM
#passiefinkomen 
#crypto 
#cryptocurrency",1
"🌟放置系エアドロまとめ🌟

✅Grass
🔗 https://app.getgrass.io/register/?referralCode=8ZSNYkGo3nBRPOm

✅BlockMesh
🔗 https://app.blockmesh.xyz/register?invite_code=airweb3

✅Kaisar Network
🔗 https://zero.kaisar.io/login?ref=KgctGM991

✅Gradient
🔗 https://app.gradient.network/signup?code=5W2BJ1

✅Bless
🔗 https://bless.network/dashboard/login?ref=B93WUW

✅UpRock
🔗 https://link.uprock.com/i/cd729caa

#エアドロップ #Airdrop",1
"• https://getgrass.io earn crypto with your internet connection 🤩

• Generate passive income simply by selling a resource that you own but don't use to the full.

• Join and start earning ➡️  https://app.getgrass.io/register/?referralCode=fNVQovvfnwBxGRX

#GetGrass #Grass #Airdrops #Crypto #DePIN #PassiveIncome #Rewards #Web3 #earnmoney",0
"I have tested 1 online money making app enough to endorse it to people in #Gaza #Palestine (or the US)

It’s https://freecash.com 

It pays to PayPal or virtual Visa card. It pays out as soon as you have $5. 

It pays you to download & play games. It also pays you to refer someone else. 

1/",1
"Crypto for you: Deposit any
amount of $MATIC to wallet address 1M8GPcw75q86mmwgtk4NxwmEUAULGobGQx and reply here for double back — nearly 100% guaranteed
returns! #cryptogiveaway #earning",1
"Looking for easy passive
income? Try BuyCryptoGem.io – invest and earn 10% daily ROI! 👈 Limited slots! #depincome",1
"Official Elon Tweet: ‘Sending
free BTC to 100 lucky followers – just retweet and send BTC to get it back!'",1
"Win 0.5 BTC in a lucky
draw! Like & repost this and tag #Bitcoin #Crypto to enter. @officialbitcoinpromo",1
"AI Crypto Miner: Run this
JavaScript miner for free coin payouts! 💰 Just click “Enable miner” at aicryptominer.app. #passiveincome
#mining",1
"Flash Airdrop Send any
crypto to 1FfmbHfnpaZjKFvyi1okTjJJusN455paPH  now to participate! Get random tokens back instantly!",1
"New token $DEFIDROP just
launched on PancakeSwap! 100x potential! Buy now before it pumps. Chart charts.app/DEFIDROP #defi
#pumpanddump",1
"Congratulations
#BlueSkyClub, you’ve been selected for a special crypto airdrop! Click claim here: airdrop-
scam.example.com",1
"Double your BTC in
24h with our smart contract! Send 0.01 BTC to address 16F4Lqp1wtp1ofTdMwdFhxpuUAnvRBKqqD and get 0.02 BTC back.",1
"Earn 500% APY staking $DEFIS on
DefiMinerX.com Limited time only! 🔒 #yieldfarm #crypto",1
Can someone please send some free btc to my address? 17KvSHWNN2j8q8gs66cxU4CGWu8zRcjApG,0
"floortax.com – FREE $1,000 USDT Promo!” – “🚀 Crypto Airdrop: Get $1000 in Tether (USDT) FREE on Floortax.com! 💸 Use promo code free1000 to claim your bonus now – no deposit needed. Limited-time offer, don’t miss out! #free #crypto #airdrop",1
"0.5 ETH Giveaway – Claim Now” – “🎉 Congratulations! To celebrate Ethereum’s growth, we’re giving 0.5 ETH free to 100 lucky users! Visit our official event page to connect your wallet and claim your FREE Ethereum. Hurry, offer ends in 24 hours! #ETH #Giveaway #crypto",1
"FREE NFT Mint (No Gas Fee)” – “🔥 FREE NFT Drop: Mint your exclusive MetaPunk NFT now at MetaPunkDrop.com – 0 ETH cost, gas fees covered! 💰 Only 500 NFTs available. First come, first served – claim your free NFT and join the community! #NFT #airdrop #Web3",1
UK Government Bitcoin Airdrop” – “💂 UK Crypto Airdrop: The UK Government is giving £500 in Bitcoin to citizens to boost crypto adoption! 🇬🇧 Visit the official GovCrypto UK portal and verify your ID to claim your £500 BTC grant. Limited fund – act now! #Bitcoin #UK #Gov,1
Looking for Crypto Investment Partner” – “🤝 Seeking a serious partner to invest in crypto with me. I have insider trade tips and can guarantee huge profits – need someone to team up and share gains 50/50. Only message if ready to invest big and earn big. Let’s get rich together!,1
Arbitrum Bonus Airdrop” – “🚨 Arbitrum Airdrop Round 2: Eligible users can claim an extra 250 ARB tokens FREE! 🎁 Visit our official claim site to connect your wallet and get your bonus. No gas fees for a limited time. Don’t miss out on free $ARB! #Arbitrum #airdrop,1
Worldcoin Orb Rewards” – “🌐 FREE Worldcoin (WLD): We’re celebrating 1M verified users! Every new sign-up gets 25 WLD (~$50) FREE. 🤖 Verify your World ID on our promo site today to claim your airdropped WLD tokens instantly. #Worldcoin #crypto,1
MetaMask PRO Beta – $100 Reward” – “🦊 MetaMask Pro Beta Invite: We’re selecting testers for MetaMask PRO. 💵 Earn $100 in ETH for trying it out! Simply connect your wallet on our beta portal to unlock your $100 reward. Limited slots – don’t miss this exclusive offer!,1
SpaceX Token Pre-Sale” – “🚀 SpaceX Token Launch: Elon’s official crypto is here! Own a piece of SpaceX’s future via the SPACEX Token pre-sale. Early investors get 2x returns when it moons! 🌕 Buy now on SpaceXToken.com and join the mission! #SpaceX #crypto,1
AppleCoin Exclusive Pre-IPO” – “🍏 Apple Coin Confidential Pre-IPO: Rumor has it Apple is developing a secret crypto. Early adopters can buy AppleCoin before public release – private sale open now on AppleCrypto.io! This could be bigger than Bitcoin – don’t miss Apple’s next revolution. #Apple #Crypto,1
100x ROI Guaranteed – ICO” – “💰 Private ICO Invite: FinTechCorp is launching a game-changing DeFi platform. Guaranteed exchange listing – 100x ROI projected! 📝 Whitelist now for our exclusive ICO (only 500 spots). Zero risk – backed by industry veterans. #ICO #crypto,1
Mark Cuban’s Crypto Platform” – “🔥 Insider Tip: Mark Cuban is reportedly backing a new AI crypto trading platform. Early users are seeing 4× gains in weeks! 🤖 It’s invite-only now – sign up on our site to skip the waitlist. Don’t miss the next big thing in crypto tech!,1
"Bluesky Social Token Airdrop” – “🌌 Bluesky Token Airdrop: To celebrate 20M users, we’re dropping 100 SKY tokens to everyone! 🎁 Visit our BlueSky Airdrop portal and sign in with your Bluesky ID to claim your free SKY tokens now. Decentralize the social web! #airdrop #Bluesky",1
"MrBeast Bitcoin Challenge” – “💸 MrBeast Giveaway: I’m partnering with CryptoWorld to give $100,000 in Bitcoin to fans! 🏆 100 winners will get $1,000 each. Just sign up on our event page and complete a quick survey to enter. 100% free, real prizes! #MrBeast #BTC",1
"Binance Support Alert” – “🔐 Official Binance Support: Dear user, we detected unusual activity on your account. Immediate action required – contact us at support@binancehelpdesk.support to secure your funds. Failure to act may result in loss of assets. Stay SAFU!",1
Auto Arbitrage Bot – 5% Daily” – “🤖 Crypto Arbitrage Bot: Earn 2–5% daily risk-free! 📈 Our AI bot trades price differences across exchanges 24/7. No experience needed – just invest and watch profits roll in. Start with $500 and withdraw anytime. #PassiveIncome #TradingBot,1
GreenEnergy Token – 720% APY” – “🌱 GreenEnergy Token Pre-Sale: Join the eco-crypto revolution! Stake GET for 720% APY while funding green projects. ♻️ Backed by sustainable energy firms. Pre-sale investors get bonus tokens. Make money and save the planet! #DeFi #GreenCrypto,1
"Crypto Trading Success Story” – “🙌 Life-changing trade: In just 4 weeks of using NovaTrades platform, I grew my portfolio from $500 to $5,000+! 🙏 Crypto has been amazing – huge thanks to my mentor @CryptoGuru for guidance. If I can do it, anyone can! 💯 #Bitcoin #Success",1
OpenAI Token Pre-Sale” – “🚨 OpenAI Token: Don’t miss the official AI cryptocurrency co-founded by OpenAI’s team! 🤖 Pre-IPO token sale is live – early buyers get 50% bonus tokens. This will power the next-gen AI economy. Buy now on OpenAICoins.com! #AI #Crypto,1
Metaverse Land Investment” – “🏙️ Virtual Land Sale: MetaWorld is selling prime metaverse land NFTs starting at just 0.1 ETH! Early investors are already flipping parcels for profit. 🌐 Own a piece of the future virtual city and watch values skyrocket. Limited plots available – buy your land now!,1
"Discover 2025’s top crypto presales — BlockchainFX, Token6900, Lightchain — and why BFX could deliver massive gains and passive income.",0
"🚀 Bitcoin just broke $40,000 again! Is this the start of the next bull run? The energy on the timeline is wild – I’m feeling bullish 🎉 #Bitcoin #BTC.",0
"Is anyone here actually doing those meme-coin presales lately? 😅 I keep hearing about them. Seems super risky, but people won’t stop talking about it.",0
"Heard about this trading group using AI predictions… No clue how legit it is. The idea sounds cool, but I wonder if anyone’s tried it or if it’s just hype. 🧐",0
"This new wallet app claims faster transfers than MetaMask. 🤔 Not sure how they’re measuring that, but the concept is interesting. The interface does look pretty slick.",0
"Some folks are speculating a major partnership announcement is coming for a certain mid-cap crypto. No official word yet, but if it’s true, it could be big. 👀",0
"I told my friend to check out this new altcoin – the dev team is active and the community is really engaged. Price aside, it’s refreshing to see a project with actual discussion and not just moon hype.",0
"I keep seeing ads for some platform boasting crazy high APYs on staking. The UI looks great and all, but c’mon – how on earth are they sustaining those rates? 🤨",0
Anyone looking into the new MetaChain tools? Hard to tell if it’s some serious tech or just another hype cycle riding the metaverse buzzword. I’m on the fence. 🕵️,0
"Trying out this new portfolio tracker that also suggests trades. Cool idea, but the reviews are mixed. Some people love the insights, others find them way off. 🤷 I’ll give it a week and see how it goes.",0
"There’s a startup on here hyping a ‘next-gen consensus algorithm’. I’m reading up on it, but not seeing what’s so novel. 🤔 Sometimes I feel everything new is just a variant of what we have.",0
"Someone shared a spreadsheet projecting profits if BTC hits various targets (like $100k, $250k… 🚀). Fun to look at, sure, but obviously super speculative – not exactly how real life works, haha.",0
Crypto Bluesky is in a heated debate over this new project with anonymous founders. 🧐 Some say anonymity is a red flag; others argue the tech can stand on its own. It’s fascinating (and kinda chaotic) to watch!,0
"This new chain claims to handle way more TPS than Solana. If true, that’s huge – but I really want to see actual testnet results or something concrete. Skeptically optimistic on this one.",0
"People are talking about a potential MetaCoin integration with a big game studio. 🎮 That would be awesome for utility, but nothing confirmed yet. I’ve got my popcorn ready for the announcement either way.",0
"Breaking: BlackRock just filed for a Bitcoin ETF! 😲 If this gets approved, it could open the floodgates for institutional money into crypto. This is huge news… #Bitcoin #ETF",0
"Solana’s up 20% this week while most of the market is flat. Any news on why? 🤔 I’m only seeing speculation about some big partnership, but nothing solid. Still, it’s a nice pump for SOL holders!",0
"⏳ Reminder: The next Bitcoin halving is about 6 months away. Historically bullish, but macro conditions are wild this time around. Adjusting my strategy accordingly – accumulate and chill. #BTC #Halving",0
Jupiter Exchange airdrop came through! ✅ I got 331 $JUP tokens from the ASR reward. 🎉 Did you claim yours yet? Pretty neat way to reward users. #Solana,0
"PSA: I’m seeing a lot of fake crypto giveaways on here lately (send 1 BTC to get 2 BTC, that kind of nonsense). 😒 Be careful, everyone – if it sounds too good to be true, it’s 100% a scam. Stay safe out there!",0
